"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5732","User login with correct email and password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","2425","Registration with correct email, username and password","LMS system","2026-09-19","passed","2026-09-19","Registration","Authentication","",""
"","0","test_password_rest","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","3215","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","2692","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","3905","Create course","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-19","passed","2026-09-19","TestUserInterface","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-09-19","passed","2026-09-19","","test_markers","",""
"","3671","User login with wrong email or password","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","2067","Check displaying of dashboard page","LMS system","2026-09-19","passed","2026-09-19","Dashboard","Dashboard","",""
"","2472","Navigation from login page to registration page","LMS system","2026-09-19","passed","2026-09-19","Authorization","Authentication","",""
"","3572","Edit course","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
"","0","test_logout","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","2026-09-19","passed","2026-09-19","TestUserAuthentication","test_markers","",""
"","2292","Check displaying of empty courses list","LMS system","2026-09-19","passed","2026-09-19","Courses","Courses","",""
